v_products_options_values_id,v_language_id,v_products_options_values_name
206514,1,"0.06 Fl Oz"
206515,1,"0.5 Gal"
206516,1,"0.5 Oz"
206517,1,"0.9 Oz"
206518,1,"0.75 Oz"
206519,1,"0.88 Lb"
206520,1,"0.125 Fl Oz"
206521,1,"1 C"
206522,1,"1 Count"
206523,1,"1 Fl Oz"
206524,1,"1 Gal"
206525,1,"1 Lb"
206526,1,"1 Oz"
206527,1,"1 Pt"
206528,1,"1 Qt"
206529,1,"1 in"
206530,1,"1.06 Oz"
206531,1,"1.2 Oz"
206532,1,"1.2 Qt"
206533,1,"1.3 Oz"
206534,1,"1.5 C"
206535,1,"1.5 Fl Oz"
206536,1,"1.5 Gal"
206537,1,"1.5 Lb"
206538,1,"1.5 Oz"
206539,1,"1.5 mm"
206540,1,"1.7 Pt"
206541,1,"1.7 Qt"
206542,1,"1.8 Pt"
206543,1,"1.8 Qt"
206544,1,"1.9 Qt"
206545,1,"1.9 lb"
206546,1,"1.11 Pt"
206547,1,"1.23 Oz"
206548,1,"1.25 Oz"
206549,1,"1.25 Pt"
206550,1,"1.59 Qt"
206551,1,"1.62 Fl Oz"
206552,1,"1.64 Qt"
206553,1,"1.65 Qt"
206554,1,"1.69 Pt"
206555,1,"1.71 Pt"
206556,1,"1.75 Lb"
206557,1,"1.75 Pt"
206558,1,"1.75 in"
206559,1,"1.85 Qt"
206560,1,"1.95 Qt"
206561,1,"2 Count"
206562,1,"2 Fl Oz"
206563,1,"2 Gal"
206564,1,"2 Lb"
206565,1,"2 Oz"
206566,1,"2 Qt"
206567,1,"2 in"
206568,1,"2.2 Fl Oz"
206569,1,"2.2 Oz"
206570,1,"2.5 FL Oz"
206571,1,"2.5 Gal"
206572,1,"2.5 Lb"
206573,1,"2.5 Oz"
206574,1,"2.5 in"
206575,1,"2.6 Oz"
206576,1,"2.7 Lb"
206577,1,"2.8 Oz"
206578,1,"2.64 lb"
206579,1,"2.65 Oz"
206580,1,"2.75 Lb"
206581,1,"2.75 Oz"
206582,1,"2.75 Qt"
206583,1,"2X Large"
206584,1,"2X Small"
